ID,Airline Id,Origin,Destination
1,AC,ABJ,BRU
2,AC,ABJ,OUA
3,AC,ADD,JED
4,AC,AMS,CPH
5,AC,ANU,YYZ
6,AC,ATL,DEN
7,AC,ATL,YYZ
8,AC,AUA,YYZ
9,AC,AUH,YYZ
10,AC,AZS,YUL
11,AC,AZS,YYZ
12,AC,BCN,YYZ
13,AC,BDA,YYZ
14,AC,BDL,YUL
15,AC,BDL,YYZ
16,AC,BGI,YYZ
17,AC,BJM,NBO
18,AC,BKK,ICN
19,AC,BKK,NRT
20,AC,BNA,YYZ
21,AC,BOG,YYZ
22,AC,BOS,YHZ
23,AC,BOS,YOW
24,AC,BOS,YUL
25,AC,BOS,YYZ
26,AC,BRU,BJM
27,AC,BRU,COO
28,AC,BRU,DKR
29,AC,BRU,DLA
30,AC,BRU,KGL
31,AC,BRU,LAD
32,AC,BRU,OUA
33,AC,BRU,YUL
34,AC,BRU,YYZ
35,AC,BWI,YYZ
36,AC,CCC,YYZ
37,AC,CDG,YUL
38,AC,CDG,YYZ
39,AC,CKY,DKR
40,AC,CLE,YYZ
41,AC,CLT,YYZ
42,AC,CMH,YYZ
43,AC,COO,ABJ
44,AC,CPH,AMS
45,AC,CPH,OSL
46,AC,CPH,VNO
47,AC,CPH,WAW
48,AC,CPH,YYZ
49,AC,CUN,YUL
50,AC,CUN,YYC
51,AC,CUN,YYZ
52,AC,CVG,YYZ
53,AC,CZM,YUL
54,AC,DCA,YOW
55,AC,DCA,YUL
56,AC,DCA,YYZ
57,AC,DEL,BRU
58,AC,DEN,ATL
59,AC,DEN,MSY
60,AC,DEN,YEG
61,AC,DEN,YMM
62,AC,DEN,YQR
63,AC,DEN,YUL
64,AC,DEN,YVR
65,AC,DEN,YWG
66,AC,DEN,YXE
67,AC,DEN,YYC
68,AC,DEN,YYZ
69,AC,DFW,YYZ
70,AC,DKR,BRU
71,AC,DKR,CKY
72,AC,DLA,BRU
73,AC,DLA,FIH
74,AC,DTW,YYZ
75,AC,DUB,YYZ
76,AC,EBB,BRU
77,AC,EWR,MSY
78,AC,EWR,YEG
79,AC,EWR,YUL
80,AC,EWR,YVR
81,AC,EWR,YYC
82,AC,EWR,YYZ
83,AC,EZE,SCL
84,AC,FCO,YYZ
85,AC,FDF,YUL
86,AC,FIH,BRU
87,AC,FIH,DLA
88,AC,FLL,YUL
89,AC,FLL,YYZ
90,AC,FRA,JED
91,AC,FRA,LCA
92,AC,FRA,NAP
93,AC,FRA,VLC
94,AC,FRA,VNO
95,AC,FRA,YOW
96,AC,FRA,YUL
97,AC,FRA,YVR
98,AC,FRA,YYC
99,AC,FRA,YYZ
100,AC,GCM,YYZ
101,AC,GDN,CPH
102,AC,GGT,YYZ
103,AC,GND,YYZ
104,AC,GRU,YYZ
105,AC,GVA,YUL
106,AC,HAV,YYZ
107,AC,HKG,YVR
108,AC,HKG,YYZ
109,AC,HND,YVR
110,AC,HNL,YVR
111,AC,HOG,YUL
112,AC,HOG,YYZ
113,AC,IAD,MSY
114,AC,IAD,YOW
115,AC,IAD,YUL
116,AC,IAD,YYZ
117,AC,IAH,MSY
118,AC,IAH,YEG
119,AC,IAH,YUL
120,AC,IAH,YYC
121,AC,IAH,YYZ
122,AC,ICN,BKK
123,AC,ICN,YVR
124,AC,IND,YYZ
125,AC,IST,YYZ
126,AC,JED,ADD
127,AC,JED,FRA
128,AC,JED,IST
129,AC,JFK,YYZ
130,AC,KGL,EBB
131,AC,KGL,NBO
132,AC,KIN,YYZ
133,AC,LAD,FIH
134,AC,LAS,YUL
135,AC,LAS,YVR
136,AC,LAS,YYC
137,AC,LAS,YYZ
138,AC,LAX,YLW
139,AC,LAX,YUL
140,AC,LAX,YVR
141,AC,LAX,YYC
142,AC,LAX,YYZ
143,AC,LCA,FRA
144,AC,LGA,YOW
145,AC,LGA,YUL
146,AC,LGA,YYZ
147,AC,LHR,YEG
148,AC,LHR,YHZ
149,AC,LHR,YOW
150,AC,LHR,YUL
151,AC,LHR,YVR
